"part_num","color_id","quantity"
"3023",72,62
"2780",0,28
"50950",0,28
"3004",71,26
"43093",1,25
"3004",0,23
"3010",0,21
"30363",0,21
"32123b",14,19
"3622",0,18
"50950",320,18
"6541",0,18
"4286",0,16
"3040b",0,14
"3298",0,14
"3660",0,14
"42022",0,14
"47458",72,13
"2339",0,12
"3039",0,12
"3700",71,12
"41677",15,12
"4274",71,12
"3001",0,11
"3021",72,11
"3032",0,11
"3038",0,10
"32018",71,10
"32270",0,10
"3623",0,10
"54200",0,10
"6538b",36,10
"6632",71,10
"3070b",72,9
"32062",4,9
"3666",72,9
"3795",0,9
"41767",0,9
"41768",0,9
"44294",71,9
"6091",320,9
"2555",71,8
"30505",0,8
"3063b",0,8
"3701",72,8
"54200",182,8
"56145",0,8
"6126a",57,8
"3003",71,7
"3009",71,7
"3010",71,7
"2357",0,6
"2412b",72,6
"3009",0,6
"3037",0,6
"30374",71,6
"3045",0,6
"32064b",72,6
"3648b",71,6
"3660",71,6
"3700",0,6
"3706",0,6
"3710",72,6
"3713",4,6
"3894",71,6
"6019",0,6
"3008",71,5
"32269",71,5
"3705",0,5
"41747",0,5
"41748",0,5
"43720",0,5
"43721",0,5
"3022",72,4
"3033",71,4
"3035",0,4
"30414",72,4
"32198",71,4
"3665",71,4
"3673",71,4
"3702",0,4
"3832",0,4
"3937",1,4
"3960pr0017a",0,4
"4019",71,4
"4161",0,4
"41896",297,4
"41897",0,4
"4287a",71,4
"43121",71,4
"4519",71,4
"48336",0,4
"54200",15,4
"6091",0,4
"6134",71,4
"6589",71,4
"2445",0,3
"2456",71,3
"3020",72,3
"3028",0,3
"3031",0,3
"3460",72,3
"44302a",0,3
"50304",0,3
"50305",0,3
"2420",72,2
"2444",72,2
"2454a",0,2
"2853",71,2
"3002",71,2
"3002",0,2
"3006",0,2
"3008",0,2
"3021",0,2
"3024",0,2
"3034",72,2
"30383",0,2
"30663",0,2
"3069b",0,2
"32013",1,2
"32014",1,2
"32034",71,2
"3940b",0,2
"3941",71,2
"41766",0,2
"44126",0,2
"44728",72,2
"46667",0,2
"4716",71,2
"47326pat03",0,2
"4740",36,2
"47456",0,2
"50923",72,2
"51342",0,2
"59426",72,2
"6141",36,2
"6183",0,2
"6190",72,2
"6558",0,2
"6564",0,2
"6565",0,2
"2621",0,1
"2730",0,1
"2780",0,1
"2819",71,1
"3070b",72,1
"32123b",14,1
"32184",71,1
"32498",0,1
"32530",72,1
"3673",71,1
"3707",0,1
"3708",0,1
"3713",4,1
"3894",0,1
"41749",0,1
"41750",0,1
"4274",71,1
"43710",0,1
"43711",0,1
"43722",0,1
"43723",0,1
"44567a",0,1
"45301",0,1
"47397",71,1
"47398",71,1
"47753",0,1
"54383",0,1
"54384",0,1
"6108",0,1
"6141",36,1
"6180",0,1
"9244",71,1
